fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
Toulouse vs Auxerre,Auxerre,Toulouse,Auxerre,0,0,0-0,2,4,8,2,5,3,13,4,1,0.5,2,0,4,463,376,0.81,0.91,0
Strasbourg vs Paris Saint Germain,Strasbourg,Strasbourg,Paris Saint Germain,1,2,1-2,4,2,9,3,9,0,8,5,5,0.32,1,0,2,319,269,0.84,2.31,0
Strasbourg vs Paris Saint Germain,Paris Saint Germain,Strasbourg,Paris Saint Germain,1,2,1-2,4,4,13,5,10,3,6,6,0,0.68,0,1,3,698,636,0.91,1.34,0
Metz vs Lille,Metz,Metz,Lille,0,0,0-0,2,3,6,1,2,4,12,1,3,0.42,1,0,2,318,254,0.8,0.63,0
Metz vs Lille,Lille,Metz,Lille,0,0,0-0,2,8,16,6,12,4,9,6,1,0.58,1,0,2,442,370,0.84,1.65,0
Lens vs Rennes,Lens,Lens,Rennes,3,1,3-1,3,3,9,3,4,5,13,4,2,0.51,4,1,0,432,365,0.84,1.16,-1
Lens vs Rennes,Rennes,Lens,Rennes,3,1,3-1,1,8,14,5,9,5,17,4,1,0.49,2,0,0,398,340,0.85,1.5,-1
Stade Brestois 29 vs Lorient,Stade Brestois 29,Stade Brestois 29,Lorient,2,0,2-0,5,4,12,3,7,5,11,7,2,0.42,2,0,2,360,281,0.78,1.73,0
Stade Brestois 29 vs Lorient,Lorient,Stade Brestois 29,Lorient,2,0,2-0,2,7,13,4,4,9,10,7,1,0.58,0,0,2,515,443,0.86,0.74,0
Nantes vs Lyon,Nantes,Nantes,Lyon,0,1,0-1,2,8,13,3,8,5,13,5,3,0.54,4,0,2,436,363,0.83,0.76,0
Nantes vs Lyon,Lyon,Nantes,Lyon,0,1,0-1,3,6,10,1,8,2,11,4,0,0.46,2,1,2,390,321,0.82,1.41,0
Nice vs Monaco,Nice,Nice,Monaco,0,0,0-0,3,7,13,3,5,8,10,8,2,0.44,2,0,2,328,242,0.74,0.57,0
Nice vs Monaco,Monaco,Nice,Monaco,0,0,0-0,2,6,10,2,8,2,11,6,1,0.56,2,0,3,433,337,0.78,0.62,0
Angers vs Toulouse,Angers,Angers,Toulouse,1,0,1-0,4,7,12,1,6,6,11,3,1,0.51,3,0,5,473,411,0.87,1.03,0
Angers vs Toulouse,Toulouse,Angers,Toulouse,1,0,1-0,5,5,12,2,4,8,16,5,0,0.49,2,0,3,446,377,0.85,0.51,0
Auxerre vs Paris FC,Auxerre,Auxerre,Paris FC,0,0,0-0,2,6,12,4,8,4,8,7,2,0.49,1,0,4,415,340,0.82,0.94,0
Auxerre vs Paris FC,Paris FC,Auxerre,Paris FC,0,0,0-0,4,3,7,0,6,1,11,4,3,0.51,4,0,2,455,384,0.84,0.77,0
Le Havre vs Strasbourg,Le Havre,Le Havre,Strasbourg,2,1,2-1,7,5,15,3,9,6,15,9,2,0.51,2,0,2,388,332,0.86,0.91,0
Le Havre vs Strasbourg,Strasbourg,Le Havre,Strasbourg,2,1,2-1,3,1,10,6,5,5,12,3,1,0.49,1,1,5,387,331,0.86,0.42,0
Paris Saint Germain vs Marseille,Paris Saint Germain,Paris Saint Germain,Marseille,5,0,5-0,7,12,22,3,20,2,11,5,3,0.58,2,0,3,548,491,0.9,4.39,-2
Paris Saint Germain vs Marseille,Marseille,Paris Saint Germain,Marseille,5,0,5-0,3,2,9,4,5,4,18,2,1,0.42,2,0,3,395,321,0.81,0.66,-2
