fixture,team,goals,assists,shots_total_x,shots_on_x,passes_total,accurate_passes,fouls_committed,yellow_cards,red_cards,minutes,tackles,interceptions,shots_accuracy_for,pass_accuracy_team,expected_goals,goals_prevented,possession,corners,shots_total_y,shots_on_y,shots_on,shots_total,dominance_index,goal_conversion_rate,shot_on_target_ratio,control_index,cards_total,fouls_per_90_team,cards_per_90_team,cards_per_foul_team,fouls_per_duel_team,aggression_index_raw,aggression_index_norm,avg_goals_last_5,avg_cards_last_5,form_index_team
VfB Stuttgart vs 1. FC Heidenheim,1. FC Heidenheim,0.0,0,4.0,1.0,346,245.0,11.0,1,0,988,9.0,8.0,0.25,0.708092485549133,0.38,0,0.36,1,5,1,0,0,0.1616470588235294,0,0,0.47013255669712045,1,11.0,1,0.09090909090909091,0.6470588235294118,5.929411764705883,0.4130742102052053,0.8,2.2,-0.26
VfL Wolfsburg vs 1. FC Heidenheim,1. FC Heidenheim,1.0,0,10.0,3.0,267,177.0,11.0,3,0,1003,16.0,11.0,0.3,0.6629213483146067,0.99,0,0.30000000000000004,6,13,3,0,0,0.22588235294117648,0,0,0.48255142201423507,3,11.0,3,0.2727272727272727,0.4074074074074074,6.481481481481482,0.4647478239686689,0.8,2.4,-0.31999999999999995
1. FC Heidenheim vs 1. FC Köln,1. FC Köln,2.0,2,16.0,9.0,381,299.0,7.0,1,0,989,11.0,5.0,0.5625,0.7847769028871391,2.99,0,0.44,4,21,9,0,0,0.24658823529411766,0,0,0.5543216468322778,1,7.0,1,0.14285714285714285,0.4375,3.8874999999999997,0.22195168226663295,2.0,1.0,0.7
1. FC Köln vs 1899 Hoffenheim,1. FC Köln,2.0,2,6.0,4.0,268,188.0,5.0,1,0,1000,18.0,10.0,0.6666666666666666,0.7014925373134329,1.09,0,0.36,3,9,4,0,0,0.19694117647058823,0,0,0.46684440640427777,1,5.0,1,0.2,0.17857142857142858,2.8357142857142854,0.12350475226771708,2.0,1.0,0.7
1. FC Köln vs Bayern München,1. FC Köln,1.0,0,6.0,3.0,248,174.0,3.0,0,0,996,23.0,14.0,0.5,0.7016129032258065,0.72,0,0.28,4,8,3,0,0,0.18258823529411766,0,0,0.4726391444890487,0,3.0,0,0.0,0.08108108108108109,1.5162162162162163,0.0,1.6666666666666667,0.6666666666666666,0.6333333333333334
1. FC Köln vs Eintracht Frankfurt,1. FC Köln,3.0,2,9.0,5.0,493,415.0,6.0,0,0,990,17.0,10.0,0.5555555555555556,0.8417849898580122,1.22,0,0.47000000000000003,3,11,5,0,0,0.24094117647058827,0,0,0.604829828656467,0,6.0,0,0.0,0.2222222222222222,3.0444444444444443,0.14304185288248025,2.0,0.5,0.85
1. FC Köln vs FC Augsburg,1. FC Köln,1.0,1,7.0,2.0,487,377.0,10.0,2,0,990,17.0,12.0,0.2857142857142857,0.7741273100616016,0.58,0,0.56,5,9,2,0,0,0.3122352941176471,0,0,0.5927213552968369,2,10.0,2,0.2,0.3448275862068966,5.668965517241379,0.388696494151103,1.8,0.8,0.66
1. FC Köln vs FC St. Pauli,1. FC Köln,1.0,1,9.0,8.0,589,502.0,6.0,0,0,996,8.0,6.0,0.8888888888888888,0.8522920203735145,1.91,2,0.58,5,11,8,0,0,0.32023529411764706,0,0,0.6625574792970144,0,6.0,0,0.0,0.42857142857142855,3.085714285714286,0.1469047016732319,1.6,0.6,0.6200000000000001
1. FC Köln vs FSV Mainz 05,1. FC Köln,2.0,1,14.0,6.0,473,374.0,6.0,4,0,996,12.0,11.0,0.42857142857142855,0.7906976744186046,2.08,0,0.62,9,20,6,0,0,0.4068235294117647,0,0,0.643844255477112,4,6.0,4,0.6666666666666666,0.2608695652173913,4.252173913043478,0.2560850867255469,1.6,1.2,0.44000000000000006
1. FC Köln vs Hamburger SV,1. FC Köln,4.0,1,18.0,10.0,391,326.0,8.0,1,0,990,14.0,6.0,0.5555555555555556,0.8337595907928389,3.72,0,0.48,2,23,10,0,0,0.2272941176470588,0,0,0.5582986543973063,1,8.0,1,0.125,0.4,4.38,0.2680495825954971,2.2,1.4,0.6800000000000002
