fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
FC Augsburg vs VfL Wolfsburg,FC Augsburg,FC Augsburg,VfL Wolfsburg,3,1,3-1,5,3,10,2,8,2,9,10,5,0.47,2,0,3,371,286,0.77,1.71,0
FC Augsburg vs VfL Wolfsburg,VfL Wolfsburg,FC Augsburg,VfL Wolfsburg,3,1,3-1,4,7,14,3,10,4,7,5,2,0.53,1,0,2,431,354,0.82,1.19,0
Eintracht Frankfurt vs Bayern München,Eintracht Frankfurt,Eintracht Frankfurt,Bayern München,0,3,0-3,1,5,6,0,2,4,11,4,0,0.4,1,0,0,459,372,0.81,0.39,0
Eintracht Frankfurt vs Bayern München,Bayern München,Eintracht Frankfurt,Bayern München,0,3,0-3,3,5,12,4,9,3,11,3,5,0.6,2,0,1,706,632,0.9,1.71,0
VfB Stuttgart vs 1. FC Heidenheim,VfB Stuttgart,VfB Stuttgart,1. FC Heidenheim,1,0,1-0,6,7,18,5,7,11,11,1,2,0.64,1,0,1,620,534,0.86,0.99,0
VfB Stuttgart vs 1. FC Heidenheim,1. FC Heidenheim,VfB Stuttgart,1. FC Heidenheim,1,0,1-0,1,3,5,1,4,1,12,1,3,0.36,1,0,5,351,248,0.71,0.38,0
Hamburger SV vs FSV Mainz 05,Hamburger SV,Hamburger SV,FSV Mainz 05,4,0,4-0,9,5,15,1,10,5,14,1,3,0.35,2,0,4,285,194,0.68,1.91,-1
Hamburger SV vs FSV Mainz 05,FSV Mainz 05,Hamburger SV,FSV Mainz 05,4,0,4-0,4,4,11,3,7,4,13,4,3,0.65,3,0,5,514,428,0.83,0.67,-1
Borussia Mönchengladbach vs SC Freiburg,Borussia Mönchengladbach,Borussia Mönchengladbach,SC Freiburg,0,0,0-0,5,3,9,1,4,5,15,4,0,0.53,3,0,1,464,402,0.87,0.58,0
Borussia Mönchengladbach vs SC Freiburg,SC Freiburg,Borussia Mönchengladbach,SC Freiburg,0,0,0-0,1,9,12,2,7,5,7,1,3,0.47,1,0,5,412,346,0.84,0.7,0
Union Berlin vs Borussia Mönchengladbach,Union Berlin,Union Berlin,Borussia Mönchengladbach,3,1,3-1,5,7,16,4,11,5,16,6,1,0.37,5,0,1,277,195,0.7,1.23,0
Union Berlin vs Borussia Mönchengladbach,Borussia Mönchengladbach,Union Berlin,Borussia Mönchengladbach,3,1,3-1,2,4,8,2,5,3,8,6,2,0.63,3,0,2,497,419,0.84,0.63,0
VfL Wolfsburg vs VfB Stuttgart,VfL Wolfsburg,VfL Wolfsburg,VfB Stuttgart,0,3,0-3,3,3,11,5,7,4,12,3,0,0.41,1,0,4,412,315,0.76,0.32,0
VfL Wolfsburg vs VfB Stuttgart,VfB Stuttgart,VfL Wolfsburg,VfB Stuttgart,0,3,0-3,7,5,15,3,11,4,8,8,1,0.59,1,0,3,598,502,0.84,1.9,0
FSV Mainz 05 vs Bayer Leverkusen,FSV Mainz 05,FSV Mainz 05,Bayer Leverkusen,3,4,3-4,4,4,12,4,6,6,12,2,2,0.42,4,0,3,400,289,0.72,1.66,0
FSV Mainz 05 vs Bayer Leverkusen,Bayer Leverkusen,FSV Mainz 05,Bayer Leverkusen,3,4,3-4,8,6,20,6,18,2,20,3,0,0.58,4,0,1,559,457,0.82,3.48,0
RB Leipzig vs Hamburger SV,RB Leipzig,RB Leipzig,Hamburger SV,2,1,2-1,4,4,10,2,5,5,10,3,0,0.47,3,0,2,468,393,0.84,1.06,0
RB Leipzig vs Hamburger SV,Hamburger SV,RB Leipzig,Hamburger SV,2,1,2-1,3,7,15,5,10,5,15,5,1,0.53,1,0,2,518,446,0.86,1.53,0
1. FC Heidenheim vs Werder Bremen,1. FC Heidenheim,1. FC Heidenheim,Werder Bremen,2,2,2-2,11,10,31,10,17,14,31,12,2,0.55,1,0,2,465,384,0.83,3.0,0
1. FC Heidenheim vs Werder Bremen,Werder Bremen,1. FC Heidenheim,Werder Bremen,2,2,2-2,4,5,11,2,8,3,11,2,0,0.45,3,0,9,393,307,0.78,1.33,0
1.FC Köln vs FC Augsburg,1.FC Köln,1.FC Köln,FC Augsburg,1,1,1-1,2,5,9,2,3,6,9,5,6,0.56,2,0,3,487,377,0.77,0.58,0
1.FC Köln vs FC Augsburg,FC Augsburg,1.FC Köln,FC Augsburg,1,1,1-1,4,4,10,2,2,8,10,2,0,0.44,2,0,1,390,283,0.73,1.12,0
Bayern München vs Borussia Dortmund,Bayern München,Bayern München,Borussia Dortmund,2,1,2-1,7,5,15,3,12,3,12,4,2,0.61,1,0,0,586,516,0.88,2.48,0
Bayern München vs Borussia Dortmund,Borussia Dortmund,Bayern München,Borussia Dortmund,2,1,2-1,1,4,8,3,5,3,17,3,1,0.39,3,0,6,369,285,0.77,1.58,0
SC Freiburg vs Eintracht Frankfurt,SC Freiburg,SC Freiburg,Eintracht Frankfurt,2,2,2-2,5,5,12,2,10,2,12,3,4,0.52,2,0,1,444,358,0.81,1.35,-1
SC Freiburg vs Eintracht Frankfurt,Eintracht Frankfurt,SC Freiburg,Eintracht Frankfurt,2,2,2-2,3,2,8,3,7,1,8,1,0,0.48,3,0,3,420,318,0.76,0.89,-1
FC St. Pauli vs 1899 Hoffenheim,FC St. Pauli,FC St. Pauli,1899 Hoffenheim,0,3,0-3,2,2,10,6,4,6,10,9,4,0.49,1,0,3,416,316,0.76,0.95,0
FC St. Pauli vs 1899 Hoffenheim,1899 Hoffenheim,FC St. Pauli,1899 Hoffenheim,0,3,0-3,5,6,14,3,10,4,17,7,2,0.51,3,0,2,441,357,0.81,2.08,0
