fixture,team,home_team,away_team,home_goals,away_goals,final_score,Shots on Goal,Shots off Goal,Total Shots,Blocked Shots,Shots insidebox,Shots outsidebox,Fouls,Corner Kicks,Offsides,Ball Possession,Yellow Cards,Red Cards,Goalkeeper Saves,Total passes,Passes accurate,Passes %,expected_goals,goals_prevented
AS Roma vs Verona,Verona,AS Roma,Verona,2,0,2-0,3,6,12,3,6,6,19,1,2,0.43,4,0,3,320,217,0.68,1.38,0
Pisa vs Fiorentina,Pisa,Pisa,Fiorentina,0,0,0-0,1,7,11,3,9,2,15,4,1,0.39,0,0,2,230,162,0.7,0.8,0
Pisa vs Fiorentina,Fiorentina,Pisa,Fiorentina,0,0,0-0,2,7,14,5,8,6,15,6,5,0.61,1,0,1,385,315,0.82,0.89,0
Lecce vs Bologna,Lecce,Lecce,Bologna,2,2,2-2,4,5,12,3,10,2,13,3,1,0.33,4,0,3,252,166,0.66,1.8,0
Lecce vs Bologna,Bologna,Lecce,Bologna,2,2,2-2,5,3,14,6,9,5,13,9,4,0.67,2,0,2,517,442,0.85,1.37,0
AC Milan vs Napoli,AC Milan,AC Milan,Napoli,2,1,2-1,3,2,6,1,5,1,7,1,1,0.37,1,1,6,359,298,0.83,0.75,-1
AC Milan vs Napoli,Napoli,AC Milan,Napoli,2,1,2-1,7,6,19,6,12,7,7,7,0,0.63,0,0,1,604,551,0.91,2.96,-1
Parma vs Torino,Parma,Parma,Torino,2,1,2-1,2,7,13,4,6,7,10,4,1,0.37,3,0,3,270,195,0.72,1.34,-1
Parma vs Torino,Torino,Parma,Torino,2,1,2-1,4,3,15,8,8,7,12,3,1,0.63,3,0,1,442,363,0.82,0.76,-1
Genoa vs Lazio,Genoa,Genoa,Lazio,0,3,0-3,5,8,17,4,10,7,18,6,1,0.65,5,0,2,503,431,0.86,1.63,1
Genoa vs Lazio,Lazio,Genoa,Lazio,0,3,0-3,6,3,9,0,8,1,16,0,2,0.35,1,0,5,280,194,0.69,1.07,1
Verona vs Sassuolo,Verona,Verona,Sassuolo,0,1,0-1,9,6,17,2,9,8,14,4,0,0.58,2,0,2,438,348,0.79,0.8,1
Verona vs Sassuolo,Sassuolo,Verona,Sassuolo,0,1,0-1,3,4,11,4,6,5,12,2,1,0.42,3,0,9,315,238,0.76,1.67,1
Lazio vs Torino,Lazio,Lazio,Torino,3,3,3-3,4,3,9,2,4,5,13,3,1,0.49,3,0,5,411,333,0.81,1.35,-1
Lazio vs Torino,Torino,Lazio,Torino,3,3,3-3,8,7,16,1,10,6,22,5,1,0.51,3,0,1,425,352,0.83,1.76,-1
Parma vs Lecce,Parma,Parma,Lecce,0,1,0-1,2,6,10,2,7,3,16,4,2,0.63,1,0,2,476,388,0.82,0.59,0
Parma vs Lecce,Lecce,Parma,Lecce,0,1,0-1,3,3,7,1,4,3,16,9,2,0.37,2,0,2,277,182,0.66,0.5,0
Inter vs Cremonese,Inter,Inter,Cremonese,4,1,4-1,9,12,27,6,16,11,9,13,4,0.66,1,0,1,595,525,0.88,3.57,0
Inter vs Cremonese,Cremonese,Inter,Cremonese,4,1,4-1,2,1,3,0,2,1,8,1,2,0.34,1,0,5,316,243,0.77,0.64,0
Atalanta vs Como,Atalanta,Atalanta,Como,1,1,1-1,4,5,16,7,8,8,10,8,2,0.51,1,0,3,457,391,0.86,1.4,0
Atalanta vs Como,Como,Atalanta,Como,1,1,1-1,4,4,12,4,8,4,19,3,1,0.49,3,0,2,460,389,0.85,1.32,0
Udinese vs Cagliari,Udinese,Udinese,Cagliari,1,1,1-1,4,9,23,10,15,8,14,7,0,0.6,1,0,2,441,368,0.83,2.68,1
Udinese vs Cagliari,Cagliari,Udinese,Cagliari,1,1,1-1,2,4,8,2,5,3,16,2,0,0.4,2,0,3,299,216,0.72,0.97,1
Bologna vs Pisa,Bologna,Bologna,Pisa,4,0,4-0,7,12,24,5,15,9,16,2,1,0.71,0,0,0,547,485,0.89,3.62,-1
Bologna vs Pisa,Pisa,Bologna,Pisa,4,0,4-0,0,2,2,0,2,0,12,2,2,0.29,1,1,3,211,147,0.7,0.04,-1
Fiorentina vs AS Roma,Fiorentina,Fiorentina,AS Roma,1,2,1-2,3,6,11,2,4,7,19,3,2,0.45,2,0,2,373,293,0.79,1.1,0
Fiorentina vs AS Roma,AS Roma,Fiorentina,AS Roma,1,2,1-2,3,3,8,2,5,3,21,4,0,0.55,3,0,2,467,384,0.82,1.35,0
Napoli vs Genoa,Napoli,Napoli,Genoa,2,1,2-1,5,4,12,3,10,2,16,7,2,0.69,1,0,0,554,462,0.83,1.31,0
Napoli vs Genoa,Genoa,Napoli,Genoa,2,1,2-1,1,3,6,2,1,5,15,5,2,0.31,3,0,3,245,168,0.69,0.44,0
Juventus vs AC Milan,Juventus,Juventus,AC Milan,0,0,0-0,3,7,12,2,8,4,15,6,0,0.51,2,0,4,475,422,0.89,1.13,0
Juventus vs AC Milan,AC Milan,Juventus,AC Milan,0,0,0-0,4,7,13,2,7,6,8,0,1,0.49,2,0,3,466,416,0.89,1.74,0
Pisa vs Verona,Pisa,Pisa,Verona,0,0,0-0,0,5,7,2,5,2,7,3,0,0.6,4,0,3,459,377,0.82,0.65,0
Pisa vs Verona,Verona,Pisa,Verona,0,0,0-0,3,8,15,4,12,3,15,8,2,0.4,2,0,0,290,197,0.68,1.54,0
Lecce vs Sassuolo,Lecce,Lecce,Sassuolo,0,0,0-0,2,6,11,3,5,6,11,6,1,0.52,2,0,2,414,339,0.82,0.7,1
Lecce vs Sassuolo,Sassuolo,Lecce,Sassuolo,0,0,0-0,2,4,9,3,5,4,9,4,1,0.48,2,0,2,394,306,0.78,0.39,1
Torino vs Napoli,Torino,Torino,Napoli,1,0,1-0,2,8,12,2,8,4,12,3,2,0.31,1,0,5,281,214,0.76,2.0,0
Torino vs Napoli,Napoli,Torino,Napoli,1,0,1-0,5,13,22,4,14,8,22,11,2,0.69,2,0,1,615,545,0.89,2.06,0
AS Roma vs Inter,AS Roma,AS Roma,Inter,0,1,0-1,5,6,15,4,11,4,15,4,3,0.57,4,0,2,509,444,0.87,1.35,1
AS Roma vs Inter,Inter,AS Roma,Inter,0,1,0-1,3,7,12,2,7,5,12,5,0,0.43,3,0,5,389,302,0.78,0.63,1
Como vs Juventus,Como,Como,Juventus,2,0,2-0,6,3,12,3,9,3,17,4,1,0.45,3,0,4,359,290,0.81,1.47,0
Como vs Juventus,Juventus,Como,Juventus,2,0,2-0,3,8,15,4,9,6,15,1,2,0.55,1,0,4,447,372,0.83,0.88,0
Cagliari vs Bologna,Cagliari,Cagliari,Bologna,0,2,0-2,3,1,4,0,1,3,15,2,5,0.42,1,0,5,310,241,0.78,0.19,0
Cagliari vs Bologna,Bologna,Cagliari,Bologna,0,2,0-2,7,2,10,1,4,6,22,7,1,0.58,3,0,3,427,363,0.85,0.77,0
Genoa vs Parma,Genoa,Genoa,Parma,0,0,0-0,7,9,23,7,10,13,23,3,2,0.68,2,0,0,540,474,0.88,2.2,1
Genoa vs Parma,Parma,Genoa,Parma,0,0,0-0,0,1,1,0,0,1,1,0,1,0.32,5,1,7,257,172,0.67,0.05,1
Atalanta vs Lazio,Atalanta,Atalanta,Lazio,0,0,0-0,6,7,16,3,12,4,10,7,3,0.58,4,0,1,608,552,0.91,2.32,1
Atalanta vs Lazio,Lazio,Atalanta,Lazio,0,0,0-0,1,2,4,1,1,3,5,1,0,0.42,0,0,6,447,386,0.86,0.25,1
AC Milan vs Fiorentina,AC Milan,AC Milan,Fiorentina,2,1,2-1,4,7,14,3,10,4,14,1,0,0.56,3,0,1,485,424,0.87,1.98,0
AC Milan vs Fiorentina,Fiorentina,AC Milan,Fiorentina,2,1,2-1,1,3,5,1,2,3,5,3,2,0.44,3,0,2,362,306,0.85,1.08,0
Cremonese vs Udinese,Cremonese,Cremonese,Udinese,1,1,1-1,4,5,11,2,6,5,15,5,1,0.52,4,0,0,370,285,0.77,0.91,0
Cremonese vs Udinese,Udinese,Cremonese,Udinese,1,1,1-1,1,5,8,2,6,2,14,4,2,0.48,2,0,2,339,276,0.81,0.59,0
